time_period_id,day_type,time_period_sequence,time_period_type,time_period_name,time_period_start_time,time_period_end_time,time_period_start_time_sec,time_period_end_time_sec
time_period_01,Weekday,1,VERY_EARLY_MORNING,VERY_EARLY_MORNING,3:00,6:00,10800,21600
time_period_02,Weekday,2,EARLY_AM,EARLY_AM,6:00,7:00,21600,25200
time_period_03,Weekday,3,AM_PEAK,AM_PEAK,7:00,9:00,25200,32400
time_period_04,Weekday,4,MIDDAY,MIDDAY,9:00,16:00,32400,57600
time_period_05,Weekday,5,PM_PEAK,PM_PEAK,16:00,18:30,57600,66600
time_period_06,Weekday,6,EVENING,EVENING,18:30,22:00,66600,79200
time_period_07,Weekday,7,LATE_EVENING,LATE_EVENING,22:00,04:00,79200,100800
time_period_08,Saturday,1,OTHER,OTHER,00:00,6:00,0,21600
time_period_09,Saturday,2,EARLY_AM,EARLY_AM,6:00,7:00,21600,25200
time_period_10,Saturday,3,AM_PEAK,AM_PEAK,7:00,9:00,25200,32400
time_period_11,Saturday,4,MIDDAY,MIDDAY,9:00,16:00,32400,57600
time_period_12,Saturday,5,PM_PEAK,PM_PEAK,16:00,18:30,57600,66600
time_period_13,Saturday,6,EVENING,EVENING,18:30,22:00,66600,79200
time_period_14,Saturday,7,LATE_EVENING,LATE_EVENING,22:00,04:00,79200,100800
time_period_15,Sunday,1,OTHER,OTHER,00:00,6:00,0,21600
time_period_16,Sunday,2,EARLY_AM,EARLY_AM,6:00,7:00,21600,25200
time_period_17,Sunday,3,AM_PEAK,AM_PEAK,7:00,9:00,25200,32400
time_period_18,Sunday,4,MIDDAY,MIDDAY,9:00,16:00,32400,57600
time_period_19,Sunday,5,PM_PEAK,PM_PEAK,16:00,18:30,57600,66600
time_period_20,Sunday,6,EVENING,EVENING,18:30,22:00,66600,79200
time_period_21,Sunday,7,LATE_EVENING,LATE_EVENING,22:00,04:00,79200,100800
